dia,cajero,pagos,cobros
115,Cajero 3,34,35
116,Cajero 1,50,38
116,Cajero 2,37,38
116,Cajero 3,38,32
117,Cajero 1,46,41
117,Cajero 2,47,43
117,Cajero 3,39,31
118,Cajero 1,33,33
118,Cajero 2,34,41
118,Cajero 3,34,35
119,Cajero 1,36,42
119,Cajero 2,50,35
119,Cajero 3,45,31
120,Cajero 1,36,32
120,Cajero 2,36,31
120,Cajero 3,41,37
121,Cajero 1,44,34
121,Cajero 2,42,42
121,Cajero 3,47,46
122,Cajero 1,42,43
122,Cajero 2,32,40
122,Cajero 3,51,45
123,Cajero 1,38,44
123,Cajero 2,40,34
123,Cajero 3,45,38
124,Cajero 1,33,35
124,Cajero 2,33,46
124,Cajero 3,29,46
125,Cajero 1,50,40
125,Cajero 2,45,45
125,Cajero 3,30,36
126,Cajero 1,42,43
126,Cajero 2,40,47
126,Cajero 3,42,33
127,Cajero 1,51,32
127,Cajero 2,40,36
127,Cajero 3,39,30
128,Cajero 1,51,35
128,Cajero 2,40,38
128,Cajero 3,32,41
129,Cajero 1,46,30
129,Cajero 2,46,47
129,Cajero 3,46,34
130,Cajero 1,47,45
130,Cajero 2,30,36
130,Cajero 3,31,46
131,Cajero 1,45,36
131,Cajero 2,33,42
131,Cajero 3,34,39
132,Cajero 1,44,40
132,Cajero 2,31,31
132,Cajero 3,48,41
133,Cajero 1,39,38
133,Cajero 2,38,35
133,Cajero 3,38,48
134,Cajero 1,34,41
134,Cajero 2,36,41
134,Cajero 3,33,38
135,Cajero 1,47,29
135,Cajero 2,47,35
135,Cajero 3,37,33
136,Cajero 1,34,48
136,Cajero 2,47,32
136,Cajero 3,40,46
137,Cajero 1,42,31
137,Cajero 2,48,41
137,Cajero 3,45,40
138,Cajero 1,33,35
138,Cajero 2,47,41
138,Cajero 3,39,37
139,Cajero 1,29,30
139,Cajero 2,37,45
139,Cajero 3,38,42
140,Cajero 1,43,50
140,Cajero 2,29,29
140,Cajero 3,35,40
141,Cajero 1,34,34
141,Cajero 2,44,29
141,Cajero 3,45,47
142,Cajero 1,36,46
142,Cajero 2,43,45
142,Cajero 3,32,35
143,Cajero 1,44,41
143,Cajero 2,32,44
143,Cajero 3,36,43
144,Cajero 1,47,34
144,Cajero 2,36,40
144,Cajero 3,31,30
145,Cajero 1,49,43
145,Cajero 2,34,48
145,Cajero 3,35,36
146,Cajero 1,48,37
146,Cajero 2,34,41
146,Cajero 3,38,34
147,Cajero 1,43,41
147,Cajero 2,50,44
147,Cajero 3,40,33
148,Cajero 1,34,32
148,Cajero 2,34,39
148,Cajero 3,31,37
149,Cajero 1,37,45
149,Cajero 2,47,35
149,Cajero 3,45,32
150,Cajero 1,34,33
150,Cajero 2,35,30
150,Cajero 3,40,38
151,Cajero 1,44,32
151,Cajero 2,45,42
151,Cajero 3,50,47
152,Cajero 1,43,44
152,Cajero 2,30,41
152,Cajero 3,50,43
153,Cajero 1,37,43
153,Cajero 2,43,37
153,Cajero 3,47,35
154,Cajero 1,34,34
154,Cajero 2,34,46
154,Cajero 3,32,46
155,Cajero 1,50,40
155,Cajero 2,44,46
155,Cajero 3,30,38
156,Cajero 1,40,40
156,Cajero 2,41,47
156,Cajero 3,44,31
157,Cajero 1,47,31
157,Cajero 2,36,35
157,Cajero 3,38,32
158,Cajero 1,49,33
158,Cajero 2,41,37
158,Cajero 3,32,40
159,Cajero 1,46,30
159,Cajero 2,45,49
159,Cajero 3,46,37
160,Cajero 1,46,45
160,Cajero 2,33,36
160,Cajero 3,31,46
161,Cajero 1,47,37
161,Cajero 2,34,44
161,Cajero 3,32,40
162,Cajero 1,43,41
162,Cajero 2,34,35
162,Cajero 3,49,41
163,Cajero 1,40,41
163,Cajero 2,38,37
163,Cajero 3,38,48
164,Cajero 1,34,41
164,Cajero 2,36,42
164,Cajero 3,33,35
165,Cajero 1,48,30
165,Cajero 2,49,36
165,Cajero 3,39,30
166,Cajero 1,32,49
166,Cajero 2,50,33
166,Cajero 3,43,44
167,Cajero 1,42,31
167,Cajero 2,47,40
167,Cajero 3,48,40
168,Cajero 1,35,36
168,Cajero 2,51,41
168,Cajero 3,39,34
169,Cajero 1,31,31
169,Cajero 2,34,45
169,Cajero 3,41,42
170,Cajero 1,41,47
170,Cajero 2,32,32
170,Cajero 3,34,41
171,Cajero 1,30,30
171,Cajero 2,46,33
171,Cajero 3,41,47
172,Cajero 1,33,45
172,Cajero 2,46,43
172,Cajero 3,34,32
173,Cajero 1,41,42
173,Cajero 2,32,41
173,Cajero 3,35,42
174,Cajero 1,48,33
174,Cajero 2,38,40
174,Cajero 3,31,29
175,Cajero 1,49,41
175,Cajero 2,34,46
175,Cajero 3,36,33
176,Cajero 1,49,38
176,Cajero 2,34,38
176,Cajero 3,42,33
177,Cajero 1,44,43
177,Cajero 2,47,46
177,Cajero 3,37,29
178,Cajero 1,35,30
178,Cajero 2,34,41
178,Cajero 3,33,37
179,Cajero 1,36,42
179,Cajero 2,50,33
179,Cajero 3,46,31
180,Cajero 1,38,29
180,Cajero 2,39,34
180,Cajero 3,42,37
181,Cajero 1,42,34
181,Cajero 2,42,40
181,Cajero 3,50,46
182,Cajero 1,40,44
182,Cajero 2,33,40
182,Cajero 3,51,43
183,Cajero 1,36,44
183,Cajero 2,42,34
183,Cajero 3,48,35
184,Cajero 1,33,32
184,Cajero 2,36,42
184,Cajero 3,28,44
185,Cajero 1,50,42
185,Cajero 2,43,47
185,Cajero 3,32,36
186,Cajero 1,39,43
186,Cajero 2,41,47
186,Cajero 3,42,34
187,Cajero 1,50,35
187,Cajero 2,40,36
187,Cajero 3,38,28
188,Cajero 1,51,33
188,Cajero 2,43,37
188,Cajero 3,34,41
189,Cajero 1,45,31
189,Cajero 2,43,47
189,Cajero 3,47,36
190,Cajero 1,48,46
190,Cajero 2,30,34
190,Cajero 3,32,49
191,Cajero 1,48,40
191,Cajero 2,33,41
191,Cajero 3,34,42
192,Cajero 1,45,40
192,Cajero 2,32,34
192,Cajero 3,46,38
193,Cajero 1,38,37
193,Cajero 2,36,36
193,Cajero 3,34,47
194,Cajero 1,33,43
194,Cajero 2,34,39
194,Cajero 3,32,37
195,Cajero 1,47,29
195,Cajero 2,49,37
195,Cajero 3,38,33
196,Cajero 1,33,48
196,Cajero 2,51,33
196,Cajero 3,42,43
197,Cajero 1,43,31
197,Cajero 2,48,38
197,Cajero 3,46,40
198,Cajero 1,36,34
198,Cajero 2,51,39
198,Cajero 3,38,36
199,Cajero 1,29,33
199,Cajero 2,38,43
199,Cajero 3,41,43
200,Cajero 1,43,47
200,Cajero 2,29,32
200,Cajero 3,36,39
201,Cajero 1,31,33
201,Cajero 2,46,29
201,Cajero 3,43,47
202,Cajero 1,36,46
202,Cajero 2,44,47
202,Cajero 3,34,33
203,Cajero 1,43,43
203,Cajero 2,29,43
203,Cajero 3,36,41
204,Cajero 1,51,32
204,Cajero 2,37,42
204,Cajero 3,32,31
205,Cajero 1,49,42
205,Cajero 2,33,44
205,Cajero 3,36,37
206,Cajero 1,48,35
206,Cajero 2,34,39
206,Cajero 3,39,35
207,Cajero 1,43,40
207,Cajero 2,46,42
207,Cajero 3,37,33
208,Cajero 1,34,31
208,Cajero 2,34,40
208,Cajero 3,32,34
209,Cajero 1,40,45
209,Cajero 2,49,33
209,Cajero 3,45,32
210,Cajero 1,36,33
210,Cajero 2,38,32
210,Cajero 3,42,36
211,Cajero 1,46,32
211,Cajero 2,42,39
211,Cajero 3,47,49
212,Cajero 1,41,46
212,Cajero 2,30,44
212,Cajero 3,47,42
213,Cajero 1,35,46
213,Cajero 2,42,34
213,Cajero 3,45,39
214,Cajero 1,31,32
214,Cajero 2,32,43
214,Cajero 3,32,43
215,Cajero 1,52,38
215,Cajero 2,45,44
215,Cajero 3,32,38
216,Cajero 1,40,43
216,Cajero 2,42,46
216,Cajero 3,42,32
217,Cajero 1,47,33
217,Cajero 2,39,38
217,Cajero 3,41,29
218,Cajero 1,49,35
218,Cajero 2,41,36
218,Cajero 3,34,37
219,Cajero 1,45,34
219,Cajero 2,42,51
219,Cajero 3,44,33
220,Cajero 1,50,46
220,Cajero 2,32,33
220,Cajero 3,31,47
221,Cajero 1,45,38
221,Cajero 2,37,44
221,Cajero 3,31,41
222,Cajero 1,45,40
222,Cajero 2,35,31
222,Cajero 3,50,41
223,Cajero 1,39,37
223,Cajero 2,38,34
223,Cajero 3,35,47
224,Cajero 1,35,43
224,Cajero 2,34,39
224,Cajero 3,32,38
225,Cajero 1,47,31
225,Cajero 2,46,37
225,Cajero 3,37,29
226,Cajero 1,35,47
226,Cajero 2,47,32
226,Cajero 3,42,46
227,Cajero 1,44,32
227,Cajero 2,48,42
227,Cajero 3,49,39
228,Cajero 1,35,35
228,Cajero 2,51,38
228,Cajero 3,38,37
229,Cajero 1,31,32
229,Cajero 2,37,47
229,Cajero 3,41,44
230,Cajero 1,43,48
230,Cajero 2,30,29
230,Cajero 3,33,39
231,Cajero 1,30,30
231,Cajero 2,45,31
231,Cajero 3,45,47
232,Cajero 1,33,44
232,Cajero 2,45,46
232,Cajero 3,31,31
233,Cajero 1,45,42
233,Cajero 2,30,43
233,Cajero 3,35,41
234,Cajero 1,47,34
234,Cajero 2,38,43
234,Cajero 3,33,29
235,Cajero 1,47,42
235,Cajero 2,35,45
235,Cajero 3,36,33
236,Cajero 1,48,36
236,Cajero 2,37,42
236,Cajero 3,38,33
237,Cajero 1,43,41
237,Cajero 2,49,43
237,Cajero 3,37,29
238,Cajero 1,36,32
238,Cajero 2,36,39
238,Cajero 3,33,35
239,Cajero 1,40,43
239,Cajero 2,47,35
239,Cajero 3,47,33
240,Cajero 1,37,33
240,Cajero 2,39,30
240,Cajero 3,41,40
241,Cajero 1,46,34
241,Cajero 2,42,41
241,Cajero 3,48,48
242,Cajero 1,43,46
242,Cajero 2,30,42
242,Cajero 3,50,41
243,Cajero 1,37,45
243,Cajero 2,40,37
243,Cajero 3,47,39
244,Cajero 1,30,35
244,Cajero 2,33,45
244,Cajero 3,30,45
245,Cajero 1,52,40
245,Cajero 2,47,44
245,Cajero 3,30,36
246,Cajero 1,40,41
246,Cajero 2,42,49
246,Cajero 3,41,34
247,Cajero 1,48,35
247,Cajero 2,40,38
247,Cajero 3,38,32
248,Cajero 1,49,31
248,Cajero 2,39,35
248,Cajero 3,32,40
249,Cajero 1,46,32
249,Cajero 2,44,48
249,Cajero 3,43,34
250,Cajero 1,49,48
250,Cajero 2,33,36
250,Cajero 3,32,49
251,Cajero 1,47,37
251,Cajero 2,36,42
251,Cajero 3,30,42
252,Cajero 1,43,38
252,Cajero 2,31,32
252,Cajero 3,48,38
253,Cajero 1,37,41
253,Cajero 2,38,37
253,Cajero 3,36,49
254,Cajero 1,35,43
254,Cajero 2,37,43
254,Cajero 3,32,34
255,Cajero 1,48,30
255,Cajero 2,46,34
255,Cajero 3,38,30
256,Cajero 1,35,50
256,Cajero 2,47,34
256,Cajero 3,43,43
257,Cajero 1,46,35
257,Cajero 2,46,41
257,Cajero 3,46,40
258,Cajero 1,34,35
258,Cajero 2,49,37
258,Cajero 3,41,37
259,Cajero 1,32,34
259,Cajero 2,38,45
259,Cajero 3,40,44
260,Cajero 1,39,51
260,Cajero 2,30,30
260,Cajero 3,33,39
261,Cajero 1,33,31
261,Cajero 2,48,31
261,Cajero 3,41,43
262,Cajero 1,36,45
262,Cajero 2,46,45
262,Cajero 3,33,31
263,Cajero 1,41,44
263,Cajero 2,33,43
263,Cajero 3,35,43
264,Cajero 1,49,36
264,Cajero 2,39,43
264,Cajero 3,32,30
265,Cajero 1,49,42
265,Cajero 2,31,44
265,Cajero 3,37,36
266,Cajero 1,49,34
266,Cajero 2,34,41
266,Cajero 3,42,35
267,Cajero 1,44,42
267,Cajero 2,50,42
267,Cajero 3,41,30
268,Cajero 1,33,32
268,Cajero 2,38,38
268,Cajero 3,30,36
269,Cajero 1,36,44
269,Cajero 2,48,31
269,Cajero 3,44,32
270,Cajero 1,34,32
270,Cajero 2,38,30
270,Cajero 3,41,37
271,Cajero 1,45,32
271,Cajero 2,42,39
271,Cajero 3,47,46
272,Cajero 1,43,42
272,Cajero 2,34,43
272,Cajero 3,48,42
273,Cajero 1,36,44
273,Cajero 2,41,34
273,Cajero 3,46,38
274,Cajero 1,30,33
274,Cajero 2,36,44
274,Cajero 3,30,42
275,Cajero 1,48,38
275,Cajero 2,44,46
275,Cajero 3,31,37
276,Cajero 1,42,42
276,Cajero 2,42,48
276,Cajero 3,43,32
277,Cajero 1,48,33
277,Cajero 2,36,38
277,Cajero 3,38,30
278,Cajero 1,48,34
278,Cajero 2,42,39
278,Cajero 3,31,41
279,Cajero 1,44,31
279,Cajero 2,44,50
279,Cajero 3,47,37
280,Cajero 1,50,47
280,Cajero 2,32,33
280,Cajero 3,30,48
281,Cajero 1,48,36
281,Cajero 2,35,42
281,Cajero 3,33,40
282,Cajero 1,45,39
282,Cajero 2,35,35
282,Cajero 3,46,40
283,Cajero 1,36,41
283,Cajero 2,36,38
283,Cajero 3,37,51
284,Cajero 1,35,42
284,Cajero 2,37,42
284,Cajero 3,33,35
285,Cajero 1,46,30
285,Cajero 2,45,36
285,Cajero 3,38,33
286,Cajero 1,32,50
286,Cajero 2,48,33
286,Cajero 3,42,44
287,Cajero 1,44,33
287,Cajero 2,45,42
287,Cajero 3,48,39
288,Cajero 1,36,34
288,Cajero 2,51,37
288,Cajero 3,40,35
289,Cajero 1,31,31
289,Cajero 2,37,44
289,Cajero 3,41,46
290,Cajero 1,43,47
290,Cajero 2,31,32
290,Cajero 3,33,41
291,Cajero 1,31,30
291,Cajero 2,46,29
291,Cajero 3,41,46
292,Cajero 1,34,46
292,Cajero 2,47,47
292,Cajero 3,30,34
293,Cajero 1,44,44
293,Cajero 2,31,42
293,Cajero 3,36,41
294,Cajero 1,51,33
294,Cajero 2,39,39
294,Cajero 3,29,33
295,Cajero 1,50,41
295,Cajero 2,34,44
295,Cajero 3,34,36
296,Cajero 1,49,34
296,Cajero 2,36,42
296,Cajero 3,42,34
297,Cajero 1,47,40
297,Cajero 2,46,45
297,Cajero 3,40,32
298,Cajero 1,34,34
298,Cajero 2,37,39
298,Cajero 3,31,33
299,Cajero 1,40,45
299,Cajero 2,47,35
299,Cajero 3,44,31
300,Cajero 1,38,33
300,Cajero 2,37,34
300,Cajero 3,40,36
301,Cajero 1,44,35
301,Cajero 2,42,42
301,Cajero 3,51,47
302,Cajero 1,41,44
302,Cajero 2,31,40
302,Cajero 3,48,45
303,Cajero 1,35,45
303,Cajero 2,41,36
303,Cajero 3,48,39
304,Cajero 1,33,32
304,Cajero 2,33,45
304,Cajero 3,29,46
305,Cajero 1,48,42
305,Cajero 2,47,44
305,Cajero 3,30,35
306,Cajero 1,41,41
306,Cajero 2,41,46
306,Cajero 3,40,32
307,Cajero 1,47,34
307,Cajero 2,38,35
307,Cajero 3,40,28
308,Cajero 1,47,33
308,Cajero 2,43,39
308,Cajero 3,31,38
309,Cajero 1,45,31
309,Cajero 2,43,47
309,Cajero 3,43,33
310,Cajero 1,46,49
310,Cajero 2,29,36
310,Cajero 3,33,46
311,Cajero 1,46,39
311,Cajero 2,34,44
311,Cajero 3,33,41
312,Cajero 1,44,38
312,Cajero 2,35,31
312,Cajero 3,48,41
313,Cajero 1,38,37
313,Cajero 2,35,38
313,Cajero 3,34,50
314,Cajero 1,33,43
314,Cajero 2,36,42
314,Cajero 3,34,34
315,Cajero 1,46,28
315,Cajero 2,45,35
315,Cajero 3,40,30
316,Cajero 1,33,49
316,Cajero 2,48,33
316,Cajero 3,39,45
317,Cajero 1,46,32
317,Cajero 2,45,41
317,Cajero 3,49,41
318,Cajero 1,33,33
318,Cajero 2,50,41
318,Cajero 3,39,38
319,Cajero 1,31,33
319,Cajero 2,36,44
319,Cajero 3,40,44
320,Cajero 1,41,51
320,Cajero 2,32,30
320,Cajero 3,37,41
321,Cajero 1,30,33
321,Cajero 2,46,31
321,Cajero 3,44,47
322,Cajero 1,37,46
322,Cajero 2,44,47
322,Cajero 3,33,35
323,Cajero 1,44,42
323,Cajero 2,33,44
323,Cajero 3,36,41
324,Cajero 1,50,33
324,Cajero 2,37,39
324,Cajero 3,33,32
325,Cajero 1,48,39
325,Cajero 2,33,47
325,Cajero 3,35,37
326,Cajero 1,46,35
326,Cajero 2,38,39
326,Cajero 3,41,34
327,Cajero 1,46,40
327,Cajero 2,49,46
327,Cajero 3,38,31
328,Cajero 1,36,34
328,Cajero 2,37,38
328,Cajero 3,31,33
329,Cajero 1,37,43
329,Cajero 2,46,35
329,Cajero 3,45,29
330,Cajero 1,35,31
330,Cajero 2,39,33
330,Cajero 3,41,38
331,Cajero 1,45,35
331,Cajero 2,42,39
331,Cajero 3,48,48
332,Cajero 1,42,43
332,Cajero 2,30,41
332,Cajero 3,51,41
333,Cajero 1,37,46
333,Cajero 2,41,33
333,Cajero 3,49,35
334,Cajero 1,34,33
334,Cajero 2,35,44
334,Cajero 3,29,42
335,Cajero 1,52,42
335,Cajero 2,43,43
335,Cajero 3,31,36
336,Cajero 1,43,41
336,Cajero 2,42,46
336,Cajero 3,44,31
337,Cajero 1,47,33
337,Cajero 2,39,37
337,Cajero 3,40,29
338,Cajero 1,48,35
338,Cajero 2,42,39
338,Cajero 3,31,40
339,Cajero 1,44,30
339,Cajero 2,42,49
339,Cajero 3,43,36
340,Cajero 1,50,45
340,Cajero 2,32,33
340,Cajero 3,32,50
341,Cajero 1,47,38
341,Cajero 2,37,41
341,Cajero 3,32,42
342,Cajero 1,47,38
342,Cajero 2,33,32
342,Cajero 3,49,38
343,Cajero 1,36,39
343,Cajero 2,36,37
343,Cajero 3,37,48
344,Cajero 1,35,43
344,Cajero 2,38,43
344,Cajero 3,30,35
345,Cajero 1,46,31
345,Cajero 2,45,36
345,Cajero 3,40,31
346,Cajero 1,35,50
346,Cajero 2,49,36
346,Cajero 3,42,46
347,Cajero 1,42,31
347,Cajero 2,48,41
347,Cajero 3,46,37
348,Cajero 1,36,36
348,Cajero 2,50,38
348,Cajero 3,42,37
349,Cajero 1,28,31
349,Cajero 2,38,44
349,Cajero 3,37,46
350,Cajero 1,40,49
350,Cajero 2,28,28
350,Cajero 3,33,40
351,Cajero 1,32,33
351,Cajero 2,45,32
351,Cajero 3,42,45
352,Cajero 1,35,47
352,Cajero 2,47,46
352,Cajero 3,31,34
353,Cajero 1,41,41
353,Cajero 2,30,45
353,Cajero 3,36,41
354,Cajero 1,49,35
354,Cajero 2,36,43
354,Cajero 3,31,30
355,Cajero 1,49,40
355,Cajero 2,33,45
355,Cajero 3,37,34
356,Cajero 1,47,34
356,Cajero 2,35,38
356,Cajero 3,42,31
357,Cajero 1,46,40
357,Cajero 2,50,45
357,Cajero 3,39,31
358,Cajero 1,32,30
358,Cajero 2,38,42
358,Cajero 3,31,37
